lwage,educ,exp
2.058969,10,4
3.245063,19,12
2.119789,12,22
2.651651,18,39
2.563631,12,15
3.222798,20,7
3.086628,16,32
2.518887,17,16
2.424629,10,38
2.175529,13,14
2.804392,9,39
2.875280,16,40
3.368376,20,7
1.788159,8,36
3.350824,19,17
2.844381,19,9
2.888694,10,30
2.663732,12,34
2.286808,8,36
1.984783,13,19
1.955641,8,39
3.467114,16,38
2.635190,19,2
2.389183,17,10
2.919706,19,29
2.574954,12,21
3.471940,16,33
2.634547,11,21
2.120862,14,12
2.679228,13,15
1.908416,13,2
2.713464,19,27
2.051050,9,11
2.275688,9,29
2.462637,17,28
2.430724,10,8
2.565382,13,2
2.975322,14,23
2.891148,19,11
2.249275,10,34
1.940635,8,30
1.734555,9,32
1.930052,9,1
1.914831,15,34
2.340608,13,16
2.375570,12,16
2.722974,20,4
1.961664,9,20
3.045875,17,7
2.788290,18,40
3.746836,19,35
2.452860,16,3
2.577104,13,36
2.007591,11,22
2.677714,11,27
2.638599,10,36
2.667631,19,26
3.316598,15,26
2.775241,15,34
3.092475,16,18
3.234075,16,14
2.100412,13,16
2.346112,9,23
2.540544,14,26
2.643044,16,19
2.797368,14,24
2.316308,14,5
2.624888,16,17
2.432077,10,16
2.639637,19,9
3.353694,13,39
2.648996,16,27
1.870580,8,5
2.662271,16,4
2.457489,14,22
1.976837,10,4
2.386236,12,26
2.577878,13,3
2.599898,10,33
2.283286,12,32
2.378054,13,6
1.786899,13,4
2.582871,17,4
2.862740,16,26
3.545850,19,40
2.796018,14,29
2.289008,11,2
1.889224,10,4
2.098158,9,1
3.332240,18,31
2.816214,16,22
2.126139,8,21
2.456682,11,29
2.960570,14,26
2.308302,16,40
2.300375,11,21
2.690932,8,10
2.945260,11,13
3.184257,19,37
2.274336,11,33
2.305456,11,36
2.410226,17,9
3.602257,20,40
2.225884,10,38
2.111553,12,31
3.345292,17,27
2.799686,16,24
3.347351,11,39
3.134754,17,15
1.835363,8,11
1.993714,9,23
2.390019,13,24
3.344815,18,28
2.328826,13,4
2.743590,14,28
2.764603,20,16
2.413219,19,26
2.268682,12,21
2.939298,17,10
2.230947,14,21
2.336618,11,29
2.652050,16,35
2.320030,9,14
2.095634,12,37
3.735991,19,31
1.518944,13,21
2.863423,20,7
2.469768,20,38
2.307886,18,16
2.989484,20,21
